timestamp,power
2017-11-02 13:00:00,4163.6895
2017-11-02 13:15:00,4183.3691
2017-11-02 13:30:00,4200.5425
2017-11-02 13:45:00,4216.0771
2017-11-02 14:00:00,4200.1924
2017-11-02 14:15:00,4282.9375
2017-11-02 14:30:00,4072.6331
2017-11-02 14:45:00,4072.6331
2017-11-02 15:00:00,4075.5352
2017-11-02 15:15:00,4100.8521
2017-11-02 15:30:00,4122.5811
2017-11-02 15:45:00,4030.3564
2017-11-02 16:00:00,3952.7236
2017-11-02 16:15:00,3941.5171
2017-11-02 16:30:00,3931.8608
2017-11-02 16:45:00,3936.4512
2017-11-02 17:00:00,3873.2996
2017-11-02 17:15:00,3932.3457
2017-11-02 17:30:00,3905.7966
2017-11-02 17:45:00,4234.5381
2017-11-02 18:00:00,4212.5625
2017-11-02 18:15:00,4254.0591
2017-11-02 18:30:00,4263.5361
2017-11-02 18:45:00,4226.8833
2017-11-02 19:00:00,4254.7275
2017-11-02 19:15:00,4230.6553
2017-11-02 19:30:00,4302.3584
2017-11-02 19:45:00,4392.7603
2017-11-02 20:00:00,4344.2939
2017-11-02 20:15:00,4160.7544
2017-11-02 20:30:00,4135.2485
2017-11-02 20:45:00,4190.8691
2017-11-02 21:00:00,4190.8691
2017-11-02 21:15:00,4077.6575
2017-11-02 21:30:00,4168.7583
2017-11-02 21:45:00,4168.7583
2017-11-02 22:00:00,3834.1016
2017-11-02 22:15:00,3706.1243
2017-11-02 22:30:00,3700.7688
2017-11-02 22:45:00,3654.6008
2017-11-02 23:00:00,3654.6008
2017-11-02 23:15:00,3642.9812
2017-11-02 23:30:00,3642.9812
2017-11-02 23:45:00,3613.9951
2017-11-03 00:00:00,3613.9951
2017-11-03 00:15:00,3481.6416
2017-11-03 00:30:00,3468.5278
2017-11-03 00:45:00,3334.7378
2017-11-03 01:00:00,3342.6101
2017-11-03 01:15:00,3283.2324
2017-11-03 01:30:00,3302.3701
2017-11-03 01:45:00,3302.3701
2017-11-03 02:00:00,3244.9275
2017-11-03 02:15:00,3399.6636
2017-11-03 02:30:00,3460.5583
2017-11-03 02:45:00,3300.3853
2017-11-03 03:00:00,3293.1553
2017-11-03 03:15:00,3268.1555
2017-11-03 03:30:00,3278.6909
2017-11-03 03:45:00,3234.4368
2017-11-03 04:00:00,3276.5342
2017-11-03 04:15:00,3262.5239
2017-11-03 04:30:00,3198.8691
2017-11-03 04:45:00,3231.4531
2017-11-03 05:00:00,3162.8232
2017-11-03 05:15:00,3147.1919
2017-11-03 05:30:00,3147.9072
2017-11-03 05:45:00,3260.0439
2017-11-03 06:00:00,3221.9063
2017-11-03 06:15:00,3352.5691
2017-11-03 06:30:00,3339.8105
2017-11-03 06:45:00,3525.9541
2017-11-03 07:00:00,3633.8022
2017-11-03 07:15:00,3875.5732
2017-11-03 07:30:00,4022.2422
2017-11-03 07:45:00,4248.9883
2017-11-03 08:00:00,4780.8853
2017-11-03 08:15:00,5079.9834
2017-11-03 08:30:00,5431.5205
2017-11-03 08:45:00,5548.9702
2017-11-03 09:00:00,5839.5566
2017-11-03 09:15:00,5957.9346
2017-11-03 09:30:00,6453.4507
2017-11-03 09:45:00,6500.9648
2017-11-03 10:00:00,6703.3066
2017-11-03 10:15:00,6909.9756
2017-11-03 10:30:00,6895.2275
2017-11-03 10:45:00,6836.1104
2017-11-03 11:00:00,6902.5254
2017-11-03 11:15:00,7029.1182
2017-11-03 11:30:00,6999.2129
2017-11-03 11:45:00,6863.5728
2017-11-03 12:00:00,6796.2549
2017-11-03 12:15:00,6746.4609
2017-11-03 12:30:00,6675.1162
2017-11-03 12:45:00,6792.8804
2017-11-03 13:00:00,6724.8887
2017-11-03 13:15:00,6917.6421
2017-11-03 13:30:00,6921.2266
2017-11-03 13:45:00,6907.8311
2017-11-03 14:00:00,7054.9727
2017-11-03 14:15:00,7002.7803
2017-11-03 14:30:00,7002.7803
2017-11-03 14:45:00,7098.3228
2017-11-03 15:00:00,7140.3477
2017-11-03 15:15:00,6996.0879
2017-11-03 15:30:00,6993.5176
2017-11-03 15:45:00,6950.0127
2017-11-03 16:00:00,6652.4385
2017-11-03 16:15:00,6751.0205
2017-11-03 16:30:00,6671.4619
2017-11-03 16:45:00,6671.4619
2017-11-03 17:00:00,6590.2129
2017-11-03 17:15:00,6495.1919
2017-11-03 17:30:00,6526.5029
2017-11-03 17:45:00,6526.5029
2017-11-03 18:00:00,6635.0732
2017-11-03 18:15:00,6297.1909
2017-11-03 18:30:00,6297.1909
2017-11-03 18:45:00,6181.6636
2017-11-03 19:00:00,6092.1313
2017-11-03 19:15:00,5934.9526
2017-11-03 19:30:00,5890.4741
2017-11-03 19:45:00,5707.3848
2017-11-03 20:00:00,5663.7939
2017-11-03 20:15:00,5471.8169
2017-11-03 20:30:00,5345.5635
2017-11-03 20:45:00,5253.8628
2017-11-03 21:00:00,5255.2773
2017-11-03 21:15:00,5195.7534
